,epsGrowth,marketCap,sentiment,peratio,recommendation
0,0.13471971066907776,2965637169152.0,0.06666666666666667,,buy
1,0.04199066874028001,2547913326592.0,0.13854166666666667,,buy
2,1.4080267558528428,1905000054784.0,0.0786796536796537,,buy
3,0.7137931034482758,1816623579136.0,0.0,,buy
4,0.46769851951547775,1220248469504.0,0.0,,buy
5,0.3592400690846287,1924861394944.0,0.025,,buy
6,0.27288428324697755,1925259722752.0,0.025,,buy
7,2.137693631669536,690550865920.0,0.3328125,,buy
8,0.985539488320356,558287880192.0,0.0,,buy
9,-0.06879903439951723,533634351104.0,-0.055833333333333325,,buy
10,0.02921348314606739,474516193280.0,-0.13333333333333333,,buy
11,0.7846247712019524,462008811520.0,0.0,,buy
12,0.20368239355581144,554146988032.0,0.05816326530612244,,buy
13,-0.20745920745920748,468323368960.0,0.0,,hold
14,0.3302364864864865,424829714432.0,0.0,,buy
15,0.06372549019607837,373232533504.0,0.15833333333333333,,buy
16,0.388963660834455,356430577664.0,0.0,,buy
17,0.023148148148148244,332352126976.0,-0.04,,buy
18,69.0,318604509184.0,-0.16666666666666666,,buy
19,0.14295081967213114,314670514176.0,0.2007034632034632,,buy
20,3.4907749077490777,294653886464.0,0.07500000000000002,,buy
21,0.2015845070422536,295385595904.0,-0.05,,buy
22,0.6639004149377593,239167275008.0,0.0,,buy
23,1.4677804295942718,262258900992.0,0.049999999999999996,,buy
24,0.2722513089005237,479695699968.0,0.0,,buy
25,8.754716981132075,236990775296.0,0.125,,buy
26,0.1344827586206897,290838183936.0,0.042857142857142864,,buy
27,0.3429878048780489,239343419392.0,0.0,,buy
28,0.14170040485829943,259404300288.0,0.22000000000000003,,buy
29,0.35980937251787143,214927360000.0,0.09848484848484848,,buy
30,0.8298279158699808,208328949760.0,0.22272727272727275,,buy
31,0.07708333333333336,211326386176.0,-0.02727272727272727,,buy
32,0.5559146735617323,207950151680.0,0.21666666666666667,,buy
33,2.1779141104294477,206560526336.0,0.0,,buy
34,0.18948322756119673,199231651840.0,0.0,,buy
35,0.09861591695501719,196106141696.0,0.08614718614718614,,buy
36,0.07598784194528875,195656859648.0,-0.020833333333333332,,hold
37,0.5435356200527703,315748810752.0,0.125,,buy
38,0.48909657320872285,186150109184.0,0.01237373737373737,,buy
39,0.11934361014420697,177109041152.0,0.02,,hold
40,0.4507845934379458,175915089920.0,0.0875,,buy
41,0.9235474006116208,169434890240.0,0.19999999999999998,,buy
42,0.7090909090909091,170462904320.0,0.037500000000000006,,buy
43,-0.3734335839598998,161869561856.0,0.11363636363636365,,buy
44,0.2294478527607361,166462570496.0,-0.05000000000000001,,buy
45,0.05647058823529417,157679337472.0,-0.004166666666666666,,buy
46,0.2345013477088949,159827656704.0,0.14250000000000002,,buy
47,0.4442477876106194,174405517312.0,-0.0071428571428571435,,buy
48,0.07395143487858719,151516921856.0,0.125,,buy
49,0.8990498812351544,146624266240.0,0.09285714285714285,,buy
50,-0.07779349363507788,145317740544.0,0.0,,hold
51,4.25,145584947200.0,0.1590909090909091,,hold
52,1.367816091954023,144042557440.0,-0.04,,buy
53,5.918918918918918,147226034176.0,0.04,,buy
54,0.39840637450199207,145770151936.0,0.03333333333333333,,buy
55,0.581730769230769,144247586816.0,-0.022916666666666665,,buy
56,0.20498084291187746,141591085056.0,0.19285714285714287,,buy
57,1.57847533632287,135038230528.0,0.24166666666666667,,hold
58,0.9561510353227768,132125220864.0,-0.006666666666666666,,buy
59,0.01971190295678543,131741491200.0,0.17142857142857146,,buy
60,0.4912280701754387,131108913152.0,0.215,,buy
61,0.02222222222222224,132103069696.0,0.16666666666666666,,buy
62,0.32549728752260393,129942986752.0,0.042045454545454546,,buy
63,0.2857142857142857,126499201024.0,0.0,,buy
64,0.14262159934047802,166187761664.0,0.07638888888888888,,buy
65,-3.058139534883721,118233890816.0,0.0,,buy
66,0.4234122042341221,121175269376.0,0.2510204081632653,,buy
67,0.5690045248868778,123511570432.0,0.03125,,buy
68,0.21187308085977485,125741580288.0,0.06666666666666667,,buy
69,0.7458638922053555,116687814656.0,0.14285714285714285,,buy
70,0.0964467005076143,118433325056.0,0.15000000000000002,,buy
71,0.38425925925925924,114092384256.0,-0.07291666666666667,,buy
72,0.09117647058823532,142679801856.0,0.0,,buy
73,0.29090909090909084,147470286848.0,0.08333333333333333,,buy
74,0.9795918367346937,112803627008.0,0.03571428571428571,,buy
75,0.603385731559855,123816353792.0,0.0,,buy
76,0.8828451882845187,134134669312.0,0.2903628117913832,,buy
77,0.16839378238341968,105774080000.0,0.19166666666666668,,buy
78,0.7301587301587302,105535143936.0,-0.016666666666666666,,buy
79,0.18669037338074682,111567020032.0,0.0,,buy
80,-0.1955698047216555,111432286208.0,0.1625,,buy
81,0.22692307692307698,121802375168.0,0.0,,buy
82,0.8434081750143927,99954376704.0,0.0036363636363636346,,buy
83,0.30741540676745854,101905219584.0,0.17142857142857143,,buy
84,0.1641443538998836,99949559808.0,0.0,,hold
85,0.08994951812758151,101581758464.0,-0.017857142857142856,,buy
86,0.19949174078780169,99732267008.0,0.09629629629629628,,hold
87,1.3831775700934577,98968371200.0,0.03571428571428571,,buy
88,0.17647058823529416,99193798656.0,0.0,,buy
89,0.7202072538860104,99169361920.0,-6.938893903907228e-18,,hold
90,0.0068965517241378485,111558418432.0,0.16,,hold
91,-2.6403269754768393,104126832640.0,0.022,,buy
92,-0.09726443768996955,95733219328.0,0.14444444444444443,,buy
93,0.3658045977011496,98436759552.0,-0.08642676767676767,,buy
